test_name,mean_g_Base,mean_f_Base,mean_g_N-Prob,mean_f_N-Prob,mean_g_H-Prob,mean_f_H-Prob,mean_g_N-Eps,mean_f_N-Eps,mean_g_H-Eps,mean_f_H-Eps,mean_g_N-TS,mean_f_N-TS,mean_g_H-TS,mean_f_H-TS
Pendulum_v0,20,-27.82,21 (0.68),-49.72 (0.39),20 (0.86),-49.07 (0.93),53 (1.00),-308.51 (<0.01),59 (1.00),-296.65 (<0.01),32 (1.00),-21.70 (0.78),33 (1.00),-39.12 (0.62)
BipedalWalker_v3,146,79.19,131 (0.04),68.74 (0.26),124 (<0.01),52.83 (0.04),158 (0.99),-0.11 (<0.01),172 (1.00),15.78 (<0.01),88 (<0.01),-33.76 (<0.01),106 (<0.01),-28.95 (<0.01)
BipedalWalkerHardcore_v3,138,8.20,127 (0.18),8.59 (0.48),117 (0.02),7.85 (0.20),161 (1.00),-6.39 (<0.01),163 (1.00),0.83 (<0.01),79 (<0.01),-41.62 (<0.01),121 (0.31),-32.35 (<0.01)
LunarLanderContinuous_v2,101,86.72,100 (0.49),88.81 (0.99),102 (0.53),86.96 (0.91),89 (0.15),29.46 (<0.01),99 (0.60),28.44 (<0.01),103 (0.63),63.50 (<0.01),60 (<0.01),45.83 (<0.01)
Banknote_Auth,22,1322.09,19 (<0.01),1311.75 (<0.01),23 (0.62),1318.94 (0.18),76 (1.00),1288.90 (<0.01),46 (1.00),1304.22 (<0.01),15 (<0.01),889.06 (<0.01),20 (0.09),1042.48 (<0.01)
Wine_Quality,56,732.24,46 (0.04),725.35 (<0.01),58 (0.62),734.58 (0.66),72 (0.92),700.30 (<0.01),87 (1.00),705.44 (<0.01),45 (0.04),678.63 (<0.01),29 (<0.01),650.06 (<0.01)
MNIST,179,-7691.41,179 (0.48),-7746.75 (0.34),178 (0.03),-7455.57 (0.99),180 (1.00),-8979.23 (<0.01),180 (1.00),-8739.59 (<0.01),178 (0.01),-7414.31 (0.99),107 (<0.01),-9509.58 (<0.01)
